bear,GMT.Date,GMT.Time,Latitude,Longitude
33488,12.08.2016,21:03:00,30.90091,-88.04882
33488,12.08.2016,22:03:00,30.90148,-88.04949
33488,13.08.2016,1:02:00,30.90148,-88.04933
33488,13.08.2016,2:02:00,30.90152,-88.04945
33488,13.08.2016,3:02:00,30.90159,-88.04936
33488,13.08.2016,4:02:00,30.90153,-88.04939
33488,13.08.2016,5:02:00,30.90132,-88.049
33488,13.08.2016,6:02:00,30.90239,-88.05034
33488,13.08.2016,7:02:00,30.90252,-88.05039
33488,13.08.2016,8:02:00,30.90306,-88.05025
33488,13.08.2016,9:02:00,30.90491,-88.04967
33488,13.08.2016,10:02:00,30.90712,-88.04843
33488,13.08.2016,11:02:00,30.90804,-88.04893
33488,13.08.2016,12:02:00,30.90876,-88.04899
33488,13.08.2016,13:02:00,30.90889,-88.04913
33488,13.08.2016,14:02:00,30.90892,-88.0491
33488,13.08.2016,15:02:00,30.90892,-88.04914
33488,13.08.2016,16:02:00,30.90893,-88.04907
33488,13.08.2016,17:02:00,30.90891,-88.04914
33488,13.08.2016,18:02:00,30.90902,-88.04915
33488,13.08.2016,19:02:00,30.90891,-88.04911
33488,13.08.2016,20:02:00,30.90886,-88.04878
33488,13.08.2016,21:02:00,30.90891,-88.04843
33488,13.08.2016,22:02:00,30.90993,-88.04793
33488,14.08.2016,1:00:00,30.90984,-88.04735
33488,14.08.2016,2:00:00,30.91082,-88.04853
33488,14.08.2016,3:00:00,30.90948,-88.04737
33488,14.08.2016,4:00:00,30.90846,-88.04826
33488,14.08.2016,5:00:00,30.9086,-88.04814
33488,14.08.2016,6:00:00,30.90757,-88.04796
33488,14.08.2016,7:00:00,30.90696,-88.04808
33488,14.08.2016,8:00:00,30.90626,-88.04586
33488,14.08.2016,9:00:00,30.90574,-88.04401
33488,14.08.2016,10:00:00,30.90636,-88.0425
33488,14.08.2016,11:00:00,30.90656,-88.04238
33488,14.08.2016,12:00:00,30.90677,-88.04277
33488,14.08.2016,13:00:00,30.90497,-88.03977
33488,14.08.2016,14:00:00,30.90502,-88.03971
33488,14.08.2016,15:00:00,30.90573,-88.04118
33488,14.08.2016,16:00:00,30.90623,-88.0423
33488,14.08.2016,17:00:00,30.90607,-88.04228
33488,14.08.2016,18:00:00,30.90604,-88.04238
33488,14.08.2016,19:00:00,30.90609,-88.04238
33488,14.08.2016,20:00:00,30.90609,-88.04235
33488,14.08.2016,21:00:00,30.90611,-88.04236
33488,14.08.2016,22:00:00,30.90614,-88.04231
33488,14.08.2016,1:22:00,30.90687,-88.04177
33488,14.08.2016,2:22:00,30.90705,-88.04172
33488,14.08.2016,3:22:00,30.9069,-88.0427
33488,14.08.2016,4:22:00,30.90694,-88.04277
33488,14.08.2016,5:22:00,30.90715,-88.04325
33488,14.08.2016,6:22:00,30.90707,-88.0436
33488,14.08.2016,7:22:00,30.90704,-88.04366
33488,14.08.2016,8:22:00,30.90522,-88.04525
33488,14.08.2016,9:22:00,30.90454,-88.04489
33488,14.08.2016,10:22:00,30.90368,-88.04463
33488,14.08.2016,11:22:00,30.90405,-88.04433
33488,14.08.2016,12:22:00,30.90281,-88.0411
33488,14.08.2016,13:22:00,30.90675,-88.04299
33488,14.08.2016,14:22:00,30.90861,-88.0391
33488,14.08.2016,15:22:00,30.91062,-88.0421
33488,14.08.2016,16:22:00,30.91061,-88.04216
33488,14.08.2016,17:22:00,30.91063,-88.0436
33488,14.08.2016,18:22:00,30.91144,-88.04373
33488,14.08.2016,19:22:00,30.9121,-88.04591
33488,14.08.2016,20:22:00,30.91208,-88.04615
33488,14.08.2016,21:22:00,30.91201,-88.04615
33488,14.08.2016,22:22:00,30.91206,-88.04591
33488,15.08.2016,1:00:00,30.91204,-88.04586
33488,15.08.2016,2:00:00,30.91166,-88.04705
33488,15.08.2016,3:00:00,30.91489,-88.05163
33488,15.08.2016,4:00:00,30.91343,-88.05487
33488,15.08.2016,5:00:00,30.9142,-88.05894
33488,15.08.2016,6:00:00,30.90924,-88.05859
33488,15.08.2016,7:00:00,30.90931,-88.05852
33488,15.08.2016,8:00:00,30.90931,-88.05847
33488,15.08.2016,9:00:00,30.90829,-88.05997
33488,15.08.2016,10:00:00,30.90587,-88.05905
33488,15.08.2016,11:00:00,30.90342,-88.06175
33488,15.08.2016,12:00:00,30.89967,-88.06177
33488,15.08.2016,13:00:00,30.90083,-88.05951
33488,15.08.2016,14:00:00,30.90198,-88.06013
33488,15.08.2016,15:00:00,30.90453,-88.05596
33488,15.08.2016,16:00:00,30.91075,-88.05505
33488,15.08.2016,17:00:00,30.9107,-88.05484
33488,15.08.2016,18:00:00,30.9107,-88.055
33488,15.08.2016,19:00:00,30.91069,-88.05498
33488,15.08.2016,20:00:00,30.91076,-88.05492
33488,15.08.2016,21:00:00,30.91068,-88.055
33488,15.08.2016,22:00:00,30.91066,-88.05496
33488,16.08.2016,1:00:00,30.91205,-88.05652
33488,16.08.2016,2:00:00,30.91227,-88.05524
33488,16.08.2016,3:00:00,30.91178,-88.05594
33488,16.08.2016,4:00:00,30.9107,-88.05358
33488,16.08.2016,5:00:00,30.90909,-88.04885
33488,16.08.2016,6:00:00,30.90852,-88.04874
33488,16.08.2016,7:00:00,30.90852,-88.04878
33488,16.08.2016,8:00:00,30.90741,-88.04925
33488,16.08.2016,9:00:00,30.90667,-88.05121
33488,16.08.2016,10:00:00,30.90661,-88.05121
33488,16.08.2016,11:00:00,30.90535,-88.05187
33488,16.08.2016,12:00:00,30.90234,-88.05277
33488,16.08.2016,13:00:00,30.90084,-88.0531
33488,16.08.2016,14:00:00,30.899,-88.05021
33488,16.08.2016,15:00:00,30.89855,-88.04959
33488,16.08.2016,16:00:00,30.89915,-88.04836
33488,16.08.2016,17:00:00,30.89921,-88.04794
33488,16.08.2016,18:00:00,30.89915,-88.04811
33488,16.08.2016,19:00:00,30.89905,-88.04789
33488,16.08.2016,20:00:00,30.89916,-88.04795
33488,16.08.2016,21:00:00,30.89933,-88.04803
33488,16.08.2016,22:00:00,30.90156,-88.04858
33488,17.08.2016,1:22:00,30.90323,-88.05458
33488,17.08.2016,2:22:00,30.90371,-88.05741
33488,17.08.2016,3:22:00,30.90806,-88.06002
33488,17.08.2016,4:22:00,30.90921,-88.05859
33488,17.08.2016,5:22:00,30.90944,-88.0588
33488,17.08.2016,6:22:00,30.91535,-88.06141
33488,17.08.2016,7:22:00,30.91791,-88.06214
33488,17.08.2016,8:22:00,30.91964,-88.05875
33488,17.08.2016,9:22:00,30.91962,-88.05879
33488,17.08.2016,10:22:00,30.92011,-88.05693
33488,17.08.2016,11:22:00,30.92035,-88.05429
33488,17.08.2016,12:22:00,30.91897,-88.05416
33488,17.08.2016,13:22:00,30.91077,-88.055
33488,17.08.2016,14:22:00,30.9107,-88.05514
33488,17.08.2016,15:22:00,30.91028,-88.0548
33488,17.08.2016,16:22:00,30.90969,-88.05422
33488,17.08.2016,17:22:00,30.91373,-88.05082
33488,17.08.2016,18:22:00,30.91755,-88.04927
33488,17.08.2016,19:22:00,30.91344,-88.04608
33488,17.08.2016,20:22:00,30.9135,-88.04629
33488,17.08.2016,21:22:00,30.91341,-88.04623
33488,17.08.2016,22:22:00,30.91353,-88.04637
33488,18.08.2016,1:20:00,30.91348,-88.04628
33488,18.08.2016,2:20:00,30.91215,-88.04518
33488,18.08.2016,3:20:00,30.91152,-88.04502
