bear,year,day,julinaday,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33505,15,297,15297,24.10.2015,6,:00,6:00:00,31.39366,-88.22654
33505,15,297,15297,24.10.2015,8,:02,8:02:00,31.39374,-88.22657
33505,15,297,15297,24.10.2015,9,:00,9:00:00,31.39367,-88.22654
33505,15,297,15297,24.10.2015,10,:00,10:00:00,31.39375,-88.22647
33505,15,297,15297,24.10.2015,11,:00,11:00:00,31.39353,-88.2265
33505,15,297,15297,24.10.2015,12,:00,12:00:00,31.39365,-88.22658
33505,15,297,15297,24.10.2015,13,:00,13:00:00,31.39373,-88.22654
33505,15,297,15297,24.10.2015,15,:01,15:01:00,31.39366,-88.22661
33505,15,297,15297,24.10.2015,16,:00,16:00:00,31.3937,-88.22653
33505,15,297,15297,24.10.2015,17,:00,17:00:00,31.39361,-88.22644
33505,15,297,15297,24.10.2015,18,:00,18:00:00,31.39389,-88.226
33505,15,297,15297,24.10.2015,19,:01,19:01:00,31.39422,-88.22626
33505,15,297,15297,24.10.2015,20,:00,20:00:00,31.39481,-88.22648
33505,15,297,15297,24.10.2015,21,:00,21:00:00,31.4011,-88.22489
33505,15,297,15297,24.10.2015,22,:03,22:03:00,31.40099,-88.2181
33505,15,297,15297,24.10.2015,23,:02,23:02:00,31.40284,-88.21826
33505,15,298,15298,25.10.2015,0,:00,0:00:00,31.41236,-88.21812
33505,15,298,15298,25.10.2015,1,:02,1:02:00,31.42089,-88.22019
33505,15,298,15298,25.10.2015,2,:03,2:03:00,31.427,-88.21633
33505,15,298,15298,25.10.2015,3,:02,3:02:00,31.42391,-88.20335
33505,15,298,15298,25.10.2015,4,:02,4:02:00,31.42208,-88.2035
33505,15,298,15298,25.10.2015,5,:02,5:02:00,31.4221,-88.20333
33505,15,298,15298,25.10.2015,9,:02,9:02:00,31.42202,-88.20335
33505,15,298,15298,25.10.2015,10,:03,10:03:00,31.42206,-88.20329
33505,15,298,15298,25.10.2015,12,:02,12:02:00,31.42202,-88.20328
33505,15,298,15298,25.10.2015,14,:01,14:01:00,31.42209,-88.2033
33505,15,298,15298,25.10.2015,15,:01,15:01:00,31.42204,-88.20333
33505,15,298,15298,25.10.2015,17,:01,17:01:00,31.42403,-88.20317
33505,15,298,15298,25.10.2015,18,:01,18:01:00,31.42853,-88.19367
33505,15,298,15298,25.10.2015,19,:01,19:01:00,31.42696,-88.19232
33505,15,298,15298,25.10.2015,21,:02,21:02:00,31.42846,-88.18382
33505,15,298,15298,25.10.2015,22,:02,22:02:00,31.44016,-88.16925
33505,15,298,15298,25.10.2015,23,:01,23:01:00,31.43801,-88.16403
33505,15,299,15299,26.10.2015,0,:00,0:00:00,31.43725,-88.16468
33505,15,299,15299,26.10.2015,1,:00,1:00:00,31.4372,-88.16468
33505,15,299,15299,26.10.2015,2,:01,2:01:00,31.43885,-88.16202
33505,15,299,15299,26.10.2015,3,:01,3:01:00,31.43875,-88.16194
33505,15,299,15299,26.10.2015,5,:01,5:01:00,31.4388,-88.16215
33505,15,299,15299,26.10.2015,6,:02,6:02:00,31.43887,-88.16211
33505,15,299,15299,26.10.2015,7,:03,7:03:00,31.43869,-88.16207
33505,15,299,15299,26.10.2015,9,:02,9:02:00,31.43857,-88.16187
33505,15,299,15299,26.10.2015,10,:03,10:03:00,31.43888,-88.16204
33505,15,299,15299,26.10.2015,11,:03,11:03:00,31.43881,-88.16205
33505,15,299,15299,26.10.2015,12,:01,12:01:00,31.4387,-88.16195
33505,15,299,15299,26.10.2015,14,:02,14:02:00,31.43885,-88.16193
33505,15,299,15299,26.10.2015,16,:03,16:03:00,31.43888,-88.16217
33505,15,299,15299,26.10.2015,17,:00,17:00:00,31.43723,-88.16483
33505,15,299,15299,26.10.2015,18,:00,18:00:00,31.4377,-88.16242
33505,15,299,15299,26.10.2015,19,:01,19:01:00,31.43824,-88.16341
33505,15,299,15299,26.10.2015,20,:00,20:00:00,31.43729,-88.16452
33505,15,299,15299,26.10.2015,21,:00,21:00:00,31.43723,-88.16456
33505,15,299,15299,26.10.2015,22,:01,22:01:00,31.43753,-88.16457
33505,15,299,15299,26.10.2015,23,:02,23:02:00,31.43798,-88.16348
33505,15,300,15300,27.10.2015,0,:02,0:02:00,31.43732,-88.16457
33505,15,300,15300,27.10.2015,1,:00,1:00:00,31.43017,-88.17784
33505,15,300,15300,27.10.2015,2,:01,2:01:00,31.42685,-88.19201
33505,15,300,15300,27.10.2015,3,:00,3:00:00,31.42756,-88.1921
33505,15,300,15300,27.10.2015,4,:01,4:01:00,31.42605,-88.19773
33505,15,300,15300,27.10.2015,5,:00,5:00:00,31.42591,-88.19781
33505,15,300,15300,27.10.2015,6,:03,6:03:00,31.42598,-88.19806
33505,15,300,15300,27.10.2015,8,:01,8:01:00,31.42587,-88.19783
33505,15,300,15300,27.10.2015,9,:02,9:02:00,31.42587,-88.19781
33505,15,300,15300,27.10.2015,12,:01,12:01:00,31.42588,-88.19785
33505,15,300,15300,27.10.2015,13,:01,13:01:00,31.43892,-88.16205
33505,15,300,15300,27.10.2015,14,:02,14:02:00,31.42587,-88.19784
33505,15,300,15300,27.10.2015,16,:02,16:02:00,31.42617,-88.19704
33505,15,300,15300,27.10.2015,17,:01,17:01:00,31.42079,-88.19544
33505,15,300,15300,27.10.2015,18,:00,18:00:00,31.42866,-88.18899
33505,15,300,15300,27.10.2015,19,:03,19:03:00,31.43225,-88.18596
