bear,year,day,juliandate,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33503,15,292,15292,19.10.2015,6,:00,6:00:00,31.409,-88.27559
33503,15,292,15292,19.10.2015,7,:00,7:00:00,31.40503,-88.27471
33503,15,292,15292,19.10.2015,8,:00,8:00:00,31.40534,-88.27493
33503,15,292,15292,19.10.2015,9,:01,9:01:00,31.40531,-88.27475
33503,15,292,15292,19.10.2015,10,:01,10:01:00,31.40558,-88.27481
33503,15,292,15292,19.10.2015,11,:01,11:01:00,31.40542,-88.27485
33503,15,292,15292,19.10.2015,12,:00,12:00:00,31.40549,-88.27483
33503,15,292,15292,19.10.2015,13,:00,13:00:00,31.40591,-88.27479
33503,15,292,15292,19.10.2015,14,:00,14:00:00,31.40584,-88.27471
33503,15,292,15292,19.10.2015,15,:00,15:00:00,31.40573,-88.27481
33503,15,292,15292,19.10.2015,16,:00,16:00:00,31.4059,-88.27066
33503,15,292,15292,19.10.2015,17,:02,17:02:00,31.4106,-88.27169
33503,15,292,15292,19.10.2015,18,:00,18:00:00,31.40929,-88.27547
33503,15,292,15292,19.10.2015,19,:00,19:00:00,31.40946,-88.27528
33503,15,292,15292,19.10.2015,20,:01,20:01:00,31.40847,-88.27746
33503,15,292,15292,19.10.2015,21,:00,21:00:00,31.41634,-88.2782
33503,15,292,15292,19.10.2015,22,:01,22:01:00,31.4164,-88.27809
33503,15,292,15292,19.10.2015,23,:01,23:01:00,31.41642,-88.27816
33503,15,293,15293,20.10.2015,0,:01,0:01:00,31.41485,-88.27527
33503,15,293,15293,20.10.2015,2,:02,2:02:00,31.4148,-88.27668
33503,15,293,15293,20.10.2015,3,:00,3:00:00,31.41628,-88.27762
33503,15,293,15293,20.10.2015,4,:00,4:00:00,31.41637,-88.27816
33503,15,293,15293,20.10.2015,5,:00,5:00:00,31.41638,-88.27809
33503,15,293,15293,20.10.2015,6,:00,6:00:00,31.41679,-88.26669
33503,15,293,15293,20.10.2015,7,:01,7:01:00,31.4152,-88.26501
33503,15,293,15293,20.10.2015,8,:00,8:00:00,31.41526,-88.26483
33503,15,293,15293,20.10.2015,10,:02,10:02:00,31.41507,-88.26483
33503,15,293,15293,20.10.2015,11,:02,11:02:00,31.41518,-88.2649
33503,15,293,15293,20.10.2015,12,:01,12:01:00,31.41506,-88.26516
33503,15,293,15293,20.10.2015,13,:02,13:02:00,31.41515,-88.26522
33503,15,293,15293,20.10.2015,14,:01,14:01:00,31.41506,-88.26519
33503,15,293,15293,20.10.2015,16,:00,16:00:00,31.41276,-88.26269
33503,15,293,15293,20.10.2015,17,:01,17:01:00,31.40917,-88.26543
33503,15,293,15293,20.10.2015,18,:00,18:00:00,31.41314,-88.27108
33503,15,293,15293,20.10.2015,19,:01,19:01:00,31.41312,-88.27115
33503,15,293,15293,20.10.2015,20,:00,20:00:00,31.41251,-88.27198
33503,15,293,15293,20.10.2015,21,:00,21:00:00,31.41235,-88.27216
33503,15,293,15293,20.10.2015,22,:01,22:01:00,31.41649,-88.27822
33503,15,293,15293,20.10.2015,23,:00,23:00:00,31.41647,-88.27819
33503,15,294,15294,21.10.2015,0,:00,0:00:00,31.41647,-88.27833
33503,15,294,15294,21.10.2015,1,:03,1:03:00,31.41195,-88.27656
33503,15,294,15294,21.10.2015,2,:01,2:01:00,31.41199,-88.27635
33503,15,294,15294,21.10.2015,3,:01,3:01:00,31.41184,-88.27639
33503,15,294,15294,21.10.2015,4,:00,4:00:00,31.40892,-88.27495
33503,15,294,15294,21.10.2015,5,:00,5:00:00,31.40939,-88.27561
33503,15,294,15294,21.10.2015,6,:01,6:01:00,31.40923,-88.27543
33503,15,294,15294,21.10.2015,7,:03,7:03:00,31.40765,-88.27214
33503,15,294,15294,21.10.2015,9,:00,9:00:00,31.4075,-88.27208
33503,15,294,15294,21.10.2015,10,:03,10:03:00,31.4077,-88.272
33503,15,294,15294,21.10.2015,11,:00,11:00:00,31.40754,-88.27208
33503,15,294,15294,21.10.2015,12,:00,12:00:00,31.40762,-88.27218
33503,15,294,15294,21.10.2015,13,:00,13:00:00,31.40735,-88.27195
33503,15,294,15294,21.10.2015,14,:01,14:01:00,31.40757,-88.27202
33503,15,294,15294,21.10.2015,15,:00,15:00:00,31.40749,-88.27201
33503,15,294,15294,21.10.2015,16,:00,16:00:00,31.40849,-88.27277
33503,15,294,15294,21.10.2015,17,:00,17:00:00,31.40914,-88.27542
33503,15,294,15294,21.10.2015,18,:00,18:00:00,31.4091,-88.27574
33503,15,294,15294,21.10.2015,19,:00,19:00:00,31.40953,-88.27531
33503,15,294,15294,21.10.2015,20,:00,20:00:00,31.40906,-88.27557
33503,15,294,15294,21.10.2015,21,:00,21:00:00,31.40924,-88.27542
33503,15,294,15294,21.10.2015,22,:01,22:01:00,31.40784,-88.27678
33503,15,294,15294,21.10.2015,23,:00,23:00:00,31.40782,-88.27671
33503,15,295,15295,22.10.2015,0,:00,0:00:00,31.40786,-88.27681
33503,15,295,15295,22.10.2015,1,:00,1:00:00,31.40921,-88.27548
33503,15,295,15295,22.10.2015,2,:01,2:01:00,31.40925,-88.27554
33503,15,295,15295,22.10.2015,3,:00,3:00:00,31.40923,-88.27539
33503,15,295,15295,22.10.2015,4,:00,4:00:00,31.40933,-88.27527
33503,15,295,15295,22.10.2015,5,:01,5:01:00,31.41154,-88.2715
33503,15,295,15295,22.10.2015,6,:00,6:00:00,31.41113,-88.26337
33503,15,295,15295,22.10.2015,8,:01,8:01:00,31.4111,-88.26347
33503,15,295,15295,22.10.2015,10,:03,10:03:00,31.41105,-88.26333
33503,15,295,15295,22.10.2015,14,:02,14:02:00,31.41105,-88.26316
33503,15,295,15295,22.10.2015,15,:00,15:00:00,31.41119,-88.26316
33503,15,295,15295,22.10.2015,16,:02,16:02:00,31.40922,-88.26496
33503,15,295,15295,22.10.2015,17,:02,17:02:00,31.40922,-88.27056
33503,15,295,15295,22.10.2015,18,:00,18:00:00,31.41333,-88.27104
33503,15,295,15295,22.10.2015,19,:00,19:00:00,31.41328,-88.27085
33503,15,295,15295,22.10.2015,20,:00,20:00:00,31.41286,-88.27153
33503,15,295,15295,22.10.2015,21,:00,21:00:00,31.41265,-88.27187
33503,15,295,15295,22.10.2015,22,:00,22:00:00,31.41332,-88.27091
33503,15,295,15295,22.10.2015,23,:00,23:00:00,31.4131,-88.2712
33503,15,296,15296,23.10.2015,0,:01,0:01:00,31.41315,-88.27122
33503,15,296,15296,23.10.2015,1,:00,1:00:00,31.41318,-88.27114
33503,15,296,15296,23.10.2015,2,:00,2:00:00,31.41297,-88.27207
33503,15,296,15296,23.10.2015,3,:00,3:00:00,31.41325,-88.27111
33503,15,296,15296,23.10.2015,4,:00,4:00:00,31.41332,-88.27126
33503,15,296,15296,23.10.2015,5,:00,5:00:00,31.41299,-88.2711
33503,15,296,15296,23.10.2015,6,:00,6:00:00,31.41008,-88.27193
33503,15,296,15296,23.10.2015,8,:02,8:02:00,31.40763,-88.2721
33503,15,296,15296,23.10.2015,9,:00,9:00:00,31.40748,-88.27223
33503,15,296,15296,23.10.2015,11,:01,11:01:00,31.40739,-88.27207
33503,15,296,15296,23.10.2015,12,:03,12:03:00,31.40757,-88.27209
33503,15,296,15296,23.10.2015,13,:00,13:00:00,31.40753,-88.27209
33503,15,296,15296,23.10.2015,15,:02,15:02:00,31.40735,-88.27214
33503,15,296,15296,23.10.2015,16,:00,16:00:00,31.40719,-88.27221
33503,15,296,15296,23.10.2015,17,:00,17:00:00,31.40916,-88.27532
33503,15,296,15296,23.10.2015,18,:00,18:00:00,31.4076,-88.27661
33503,15,296,15296,23.10.2015,19,:02,19:02:00,31.40773,-88.27668
33503,15,296,15296,23.10.2015,20,:00,20:00:00,31.40772,-88.27664
33503,15,296,15296,23.10.2015,21,:00,21:00:00,31.40929,-88.27561
33503,15,296,15296,23.10.2015,22,:00,22:00:00,31.40927,-88.27548
33503,15,296,15296,23.10.2015,23,:00,23:00:00,31.40913,-88.27566
33503,15,297,15297,24.10.2015,0,:00,0:00:00,31.40914,-88.27543
33503,15,297,15297,24.10.2015,1,:00,1:00:00,31.40926,-88.27553
